WARNING 2026-02-11 08:00:42,547 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:00:42,548 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:00:42,563 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:01:13,887 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:01:13,894 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:01:13,896 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:01:13,897 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:01:13,897 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:01:13,899 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:01:13,918 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:01:13,918 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:01:16,861 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:01:16,862 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:01:16,864 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:01:16,864 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:01:16,863 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:01:16,883 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
INFO 2026-02-11 08:02:38,238 autoreload 15168 Watching for file changes with StatReloader
INFO 2026-02-11 08:02:38,245 autoreload 5384 Watching for file changes with StatReloader
WARNING 2026-02-11 08:02:48,131 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:02:48,132 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:02:48,134 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:02:48,136 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:02:48,137 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:02:48,140 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:02:48,160 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:02:48,161 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:02:50,307 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:02:50,308 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:02:50,312 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:02:50,312 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:02:50,314 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:02:50,314 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:02:50,338 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:02:50,338 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:03:07,102 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:03:07,105 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:03:07,106 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:03:07,107 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:03:07,107 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:03:07,109 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:03:07,131 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:03:07,132 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:03:07,686 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:03:07,692 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:03:07,693 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:03:07,694 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:03:07,695 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:03:07,697 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:03:07,716 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:03:07,717 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:03:08,025 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:03:08,031 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:03:08,031 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:03:08,033 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:03:08,034 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:03:08,035 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:03:08,059 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:03:08,060 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:03:08,250 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:03:08,258 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:03:08,260 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:03:08,262 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:03:08,263 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:03:08,264 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:03:08,290 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:03:08,291 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:03:54,090 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:03:54,090 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:03:54,090 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:03:54,090 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:03:54,090 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:03:54,104 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:04:03,297 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:04:03,299 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:04:03,299 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:04:03,300 log 15168 Not Found: /static/admin/css/login.css
